firstName,middleName,lastName,dateOfBirth,city,email,schoolName
sri,sree,muddha,13/08/200,nandyal,sri@gmail.com,ymk
sirisha,siri,kuruva,29/07/2000,adoni,siri@gmail.com,national
praveen,kumar,gundralu,12/10/2001,adoni,praveen@gmail.com,shantiniketan
bindu,priya,kuruva,02/10/1999,delhi,bindu@gmail.com,ymk
rajeshwari,reddy,puggi,30/10/2000,gooty,raji@gmail.com,aksharasree
rajitha,raji,gujjuboeni,12/09/2000,gooty,rajith@gmail.com,national
ramya,sree,royal,13/07/2000,chittor,ramya@gmail.com,shantiniketan
john,stalin,rachipudi,30/12/2006,kurnool,john@gmail.com,vivekananda
bharath,kumar,rachipudi,30/10/2007,kurnool,bharath@gmail.com,sharadaniketan
deepak,deepu,royal,23/06/2012,nandyal,deepu@gmail.com,vivekananda
charitha,cherry,royal,18/05/2014,nandyal,cherry@gmail.com,shantiniketan
srikanth,sri,muddha,14/06/2000,kurnool,sri@gmail.com,ymk
navya,sree,yekabote,02/09/2000,adoni,sree@gmail.com,sharadaniketan
